movieNo,movieName
12270,극장판 프리파라 모두의 동경 렛츠고 프리파리
23755,프로젝트 Y
23745,시라트
23495,731
23772,천공의 성 라퓨타
23840,슈가
23785,나는 갱년기다
23886,데몬 프린스
22042,이터널 선샤인
23424,대한민국은 국민이 합니다
23867,캐리tv 놀이극 빠라밤 캐리밴드 런앤플레이
23836,직장상사 길들이기
23822,하우스메이드
23792,얼음 여왕
23770,물의 연대기
23846,대디오
23509,프라이메이트
23613,잊혀진 대통령: 김영삼의 개혁시대
22572,두 번째 계절
23833,시스터
23871,두 피아노를 위한 콘체르토
23747,판결
23786,정글비트 2
23877,멜라니아
23640,1026: 새로운 세상을 위한
23753,"청춘, 도산에게 말을 걸다"
23863,퐁네프의 연인들
23816,왕과 사는 남자
23799,드림 홈
23815,동창 : 최후의 만찬
23864,노 머시: 90분
23852,겨울의 빛
23880,프레젠스
23348,폭풍의 언덕
23823,휴민트
23825,초속 5센티미터
23581,"초혼, 우리들의 노래"
23824,넘버원
23872,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전
23839,우리는 매일매일
